"","Phase","adj_loc","sample_date","influent_composition","broad_location","location_code_orig","batch_end_or_start","batch_sample_date","temp_C","total_Cl2_mg.L","free_Cl2_mg.L"
"1585","Phase 1","advanced blend loops",2017-12-31,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-01,15.1,0.82,NA
"1586","Phase 2","advanced blend loops",2018-01-17,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-18,17.7,0.82,NA
"1589","Phase 1","advanced blend loops",2017-11-26,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-27,16,0.83,NA
"1590","Phase 2","transition loops (Phase 2)",2018-01-06,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Between_Batch",2018-01-08,18.3,0.83,NA
"1591","Phase 1","transition loops (Phase 1)",2017-10-28,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-10-30,20.6,0.84,NA
"1592","Phase 1","transition loops (Phase 1)",2017-12-31,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-01,15.8,0.84,NA
"1594","Phase 2","advanced blend loops",2018-01-10,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-12,15,0.85,NA
"1595","Phase 1","advanced blend loops",2017-11-25,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-27,22.5,0.86,NA
"1597","Phase 1","transition loops (Phase 1)",2017-11-08,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-13,21.8,0.87,NA
"1598","Phase 1","advanced blend loops",2017-12-17,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-18,18.3,0.87,NA
"1599","Phase 1","advanced blend loops",2017-12-28,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-29,19.6,0.87,NA
"1600","Phase 2","transition loops (Phase 2)",2018-01-10,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-12,15.5,0.87,NA
"1602","Phase 1","advanced blend loops",2017-12-31,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-01,14.9,0.88,NA
"1605","Phase 1","advanced blend loops",2017-11-11,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-13,16.6,0.89,NA
"1606","Phase 2","advanced blend loops",2018-01-17,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-18,16.7,0.89,NA
"1608","Phase 1","advanced blend loops",2017-12-20,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-21,11.7,0.9,NA
"1609","Phase 1","conventional control loop",2017-12-22,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-26,10.5,0.9,NA
"1610","Phase 1","conventional control loop",2017-10-31,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-02,18.4,0.91,NA
"1611","Phase 1","advanced blend loops",2017-12-16,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-18,15.4,0.91,NA
"1612","Phase 2","conventional control loop",2018-03-24,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-26,17.6,0.91,NA
"1614","Phase 1","advanced blend loops",2017-10-25,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-10-26,27.1,0.92,NA
"1615","Phase 1","transition loops (Phase 1)",2017-11-03,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-06,18.6,0.92,NA
"1616","Phase 2","transition loops (Phase 2)",2018-01-16,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Between_Batch",2018-01-18,14.5,0.92,NA
"1617","Phase 2","conventional control loop",2018-01-28,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-29,22.4,0.92,NA
"1623","Phase 1","transition loops (Phase 1)",2017-10-24,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-10-26,26.7,0.93,NA
"1624","Phase 2","conventional control loop",2018-01-07,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-08,18.4,0.93,NA
"1627","Phase 1","advanced blend loops",2017-10-24,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-10-26,26.3,0.94,NA
"1628","Phase 1","advanced blend loops",2017-11-16,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-20,19.4,0.94,NA
"1629","Phase 1","conventional control loop",2017-12-31,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-01,14.7,0.94,NA
"1630","Phase 2","advanced blend loops",2018-01-10,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-12,15.1,0.94,NA
"1634","Phase 2","advanced blend loops",2018-01-06,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-08,18.2,0.95,NA
"1635","Phase 2","conventional control loop",2018-01-10,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-12,15.3,0.95,NA
"1636","Phase 2","conventional control loop",2018-01-20,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-22,13.8,0.95,NA
"1637","Phase 1","transition loops (Phase 1)",2017-10-27,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-10-30,23.2,0.96,NA
"1638","Phase 1","transition loops (Phase 1)",2017-11-07,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-13,21.5,0.96,NA
"1640","Phase 1","advanced blend loops",2017-12-19,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-21,12.4,0.97,NA
"1641","Phase 1","advanced blend loops",2017-11-09,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-13,19.1,0.98,NA
"1642","Phase 1","transition loops (Phase 1)",2017-12-22,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-26,12.1,0.98,NA
"1645","Phase 1","advanced blend loops",2017-10-24,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-10-26,26.3,0.99,NA
"1646","Phase 1","conventional control loop",2017-10-24,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-10-26,26,0.99,NA
"1647","Phase 1","advanced blend loops",2017-11-22,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-27,25.3,0.99,NA
"1648","Phase 1","advanced blend loops",2017-11-24,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-27,23.7,0.99,NA
"1650","Phase 1","conventional control loop",2017-10-27,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-10-30,22.9,1,NA
"1651","Phase 1","conventional control loop",2017-12-15,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-18,20.2,1,NA
"1652","Phase 2","advanced blend loops",2018-01-06,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-08,18.8,1,NA
"1653","Phase 1","advanced blend loops",2017-11-14,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-20,19.9,1.01,NA
"1654","Phase 2","conventional control loop",2018-01-31,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-01,16.1,1.01,NA
"1657","Phase 1","advanced blend loops",2017-12-30,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-01,20.7,1.02,NA
"1658","Phase 1","transition loops (Phase 1)",2017-12-12,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-14,16.1,1.03,NA
"1659","Phase 1","transition loops (Phase 1)",2017-12-27,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-29,19.1,1.03,NA
"1660","Phase 1","advanced blend loops",2018-01-02,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-05,15.4,1.03,NA
"1661","Phase 2","conventional control loop",2018-02-03,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-05,17.9,1.03,NA
"1663","Phase 1","transition loops (Phase 1)",2017-10-27,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-10-30,26.9,1.04,NA
"1664","Phase 2","transition loops (Phase 2)",2018-01-13,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Between_Batch",2018-01-15,16.1,1.04,NA
"1667","Phase 2","conventional control loop",2018-01-16,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-18,13.8,1.05,NA
"1668","Phase 2","conventional control loop",2018-02-18,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-19,18,1.05,NA
"1669","Phase 1","transition loops (Phase 1)",2017-12-19,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-21,12.5,1.06,NA
"1670","Phase 2","conventional control loop",2018-02-07,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-09,13.6,1.06,NA
"1673","Phase 1","transition loops (Phase 1)",2017-11-21,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-27,23.6,1.07,NA
"1674","Phase 1","advanced blend loops",2017-12-30,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-01,20.3,1.07,NA
"1675","Phase 1","advanced blend loops",2017-11-10,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-13,18.6,1.08,NA
"1676","Phase 1","advanced blend loops",2017-12-16,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-18,15.3,1.08,NA
"1677","Phase 1","advanced blend loops",2018-01-02,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-05,16.1,1.08,NA
"1682","Phase 1","advanced blend loops",2017-11-23,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-27,25.5,1.09,NA
"1683","Phase 1","conventional control loop",2017-12-19,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-21,12.1,1.09,NA
"1685","Phase 1","advanced blend loops",2017-12-27,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-29,18.2,1.1,NA
"1686","Phase 1","conventional control loop",2017-12-27,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-29,18.2,1.1,NA
