,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
249,Phase 1,advanced blend loops,11/6/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.033868657,67747.3969,1.02398217,TCC
96,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_1,DWDS_F,NA,0.195402521,8335.85495,1.01425933,TCC
357,Phase 1,advanced feedwater,11/6/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.772732652,175266.422,1.05426511,TCC
577,Phase 1,transition loops (Phase 1),11/6/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.250164712,1474.09078,1.14050313,ICC
99,NA,"full-scale
distribution system
",4/19/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.589315902,8727.11629,1.09735808,TCC
100,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_11,DWDS_F,NA,0.258977339,8984.33504,1.02258483,TCC
622,Phase 1,advanced blend loops,11/6/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.033868657,2294.51336,1.11070984,ICC
630,Phase 1,advanced blend loops,11/6/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.048255673,2519.65822,1.05574548,ICC
632,Phase 1,conventional control loop,11/6/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.42993069,2557.07872,1.07543952,ICC
643,Phase 1,transition loops (Phase 1),11/6/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.342920525,2888.84797,1.05923894,ICC
717,Phase 1,conventional feedwater,11/6/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.289936638,6300.23885,1.09627087,ICC
109,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_6,DWDS_F,NA,0.088892014,11505.4225,1.00936186,TCC
877,Phase 1,advanced feedwater,11/6/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.772732652,135434.087,1.09445518,ICC
104,Phase 1,transition loops (Phase 1),11/9/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.085477252,10453.1573,1.95504075,TCC
147,Phase 1,conventional control loop,11/9/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Between_Batch,0.280543095,19517.6721,1.02113058,TCC
173,Phase 1,transition loops (Phase 1),11/9/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.252674061,27482.9094,1.00961582,TCC
349,Phase 1,advanced blend loops,11/9/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.044888866,165365.905,1.00130013,TCC
359,Phase 1,advanced feedwater,11/9/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Between_Batch,0.954846483,180436.445,1.06134122,TCC
